,0,1,count
1180,item,comm,29
1181,item,config,30
1182,item,reconfig,8
1183,item,test,50
1184,item,check,49
1185,item,monitoring,6
1186,item,water,15
1187,item,private,4
1188,item,icv,0
1189,item,fgb,50
1190,item,measurements,4
1191,item,lab,12
1192,item,battery,41
1193,item,status,5
1194,item,charge,17
1195,item,payload,8
1196,item,video,68
1197,item,review,16
1198,item,msg,1
1199,item,experiment,52
1200,item,procedure,15
1201,item,inspection,8
1202,item,laptop,7
1203,item,tank,10
1204,item,morning,0
1205,item,soyuz,64
1206,item,unit,24
1207,item,replacement,48
1208,item,bag,53
1209,item,filter,74
1210,item,start,22
1211,item,photo,7
1212,item,regeneration,33
1213,item,cartridge,44
1214,item,бмп,1
1215,item,tagup,10
1216,item,specialists,5
1217,item,activation,86
1218,item,preparation,23
1219,item,installation,29
1220,item,dc1,89
1221,item,node,2
1222,item,equipment,36
1223,item,prep,119
1224,item,return,112
1225,item,stow,118
1226,item,exercise,5
1227,item,physical,0
1228,item,day,10
1229,item,tvis,5
1230,item,ims,99
1231,item,collection,1
1232,item,hrf,0
1233,item,blood,2
1234,item,urine,31
1235,item,tv,72
1236,item,drying,1
1237,item,kuband,0
1238,item,iss,33
1239,item,progress,74
1240,item,repress,14
1241,item,mcc,17
1242,wrs,page,0
1243,wrs,recovery,82
1244,wrs,power,0
1245,wrs,rack,17
1246,wrs,loop,0
1247,wrs,closure,1
1248,wrs,emergency,0
1249,wrs,hardware,0
1250,wrs,setup,2
1251,wrs,camcorder,0
1252,wrs,edv,23
1253,wrs,stowage,4
1254,wrs,ops,17
1255,wrs,closeout,17
1256,wrs,radio,0
1257,wrs,ham,0
1258,wrs,session,0
1259,wrs,data,0
1260,wrs,transfer,8
1261,wrs,questionnaire,0
1262,wrs,downlink,0
1263,wrs,mec,0
1264,wrs,air,0
1265,wrs,sm,0
1266,wrs,sampling,3
1267,wrs,fan,0
1268,wrs,cleaning,1
1269,wrs,maintenance,42
1270,wrs,сож,0
1271,wrs,ssc,0
1272,wrs,support,0
1273,wrs,cleanup,0
1274,wrs,cable,2
1275,wrs,cargo,0
1276,wrs,file,0
1277,wrs,comm,0
1278,wrs,config,10
1279,wrs,reconfig,4
1280,wrs,test,0
1281,wrs,check,15
1282,wrs,monitoring,0
1283,wrs,water,129
1284,wrs,private,0
1285,wrs,icv,0
1286,wrs,fgb,0
1287,wrs,measurements,0
1288,wrs,lab,6
1289,wrs,battery,0
1290,wrs,status,0
1291,wrs,charge,0
1292,wrs,payload,0
1293,wrs,video,0
1294,wrs,review,0
1295,wrs,msg,0
1296,wrs,experiment,0
1297,wrs,procedure,0
1298,wrs,inspection,0
