0,1,2,3,4,5,7
TIME,CREW,,,,,
06:10-06:20,FE-6,Morning Inspection,,,,
06:10-06:40,CDR,Post-sleep,,,,
06:20-06:50,FE-6,Post-sleep,,,,
06:30-07:30,FE-4,SPRUT-2. Experiment ops,,,,
06:40-07:30,CDR,Breakfast,,,,
06:50-07:30,FE-6,Breakfast,,,,
07:30-07:50,CDR,Work prep,,,,
,,Morning Inspection,,,,
07:30-07:40,FE-4,SM ПСС [Caution & Warning Panel] Test,,,,
,,Reboot Laptop RS2(1) and RSS2,,,,
07:30-07:35,FE-6,ENERGY Diet Log (breakfast),,,,
07:35-07:50,FE-6,Work prep,,,,
07:40-07:50,FE-4,Check anti-virus scanning results on ВКС laptops. Report to MCC,,,,
07:50-08:05,,Daily Planning Conference  (S-band) Report to MCC-M (for FE-4) anti-virus scanning results,,,,
08:05-08:15,CDR,TOCA – container swap,,,,
08:05-08:35,FE-4,Post-sleep,,,,
08:15-08:25,CDR,WRS – water sample analysis,,,,
08:15-08:30,FE-6,SSIPC Flight – ISS Crew Conference,,,,
08:25-09:55,CDR,Physical Exercise (ARED),,,,
08:30-09:10,FE-6,MICB. Start particle counter in air sampler,,,,
08:35-09:25,FE-4,Breakfast,,,,
09:10-09:20,FE-6,MICB-AFL. Install in MELFI,,,,
09:20-10:20,FE-6,Physical Exercise (CEVIS),,,,
09:45-09:55,FE-4,Private conference with Physical Fitness Specialist (S-band),,,,
09:55-10:15,CDR,HAM Radio Session,,,,
10:00-11:00,FE-4,KULONOVSKIY KRISTALL. Experiment ops,,,,
10:15-10:45,CDR,Preparation of equipment for Vestibule outfitting,,,,
10:20-11:20,FE-6,OBT – Dragon ops,,,,
10:45-10:55,CDR,TOCA 2 – data recording,,,,
10:55-11:25,CDR,NANORACK – review experiment ops,,,,
11:00-11:30,FE-4,KULONOVSKIY KRISTALL. Preparation of files to downlink via РСПИ,,,,
11:20-11:30,FE-6,MICB. Particle counter operation end,,,,
11:30-13:00,FE-4,Physical Exercise TVIS Day 2,,,,
11:30-12:30,"FE-6,CDR",DOUG S/W Review,,,,
12:30-12:50,FE-6,ENERGY – urine samples collection,,,,
12:30-13:00,CDR,DRAGON. Familiarization with cargo transfer plan,,,,
12:50-12:55,FE-6,ENERGY – water samples collection,,,,
12:55-13:55,FE-6,MIDDAY MEAL,,,,
13:00-14:00,"FE-4,CDR",MIDDAY MEAL,,,,
13:55-14:00,FE-6,ENERGY Diet Log (midday meal),,,,
14:00-14:40,FE-4,СОЖ Maintenance,,,,
14:00-14:10,CDR,NanoRacks – Module 9 training,,,,
14:20-14:25,CDR,ОВТ ROBOT Video set-up,,,,
14:25-14:40,CDR,Equipment set-up for robo KTP,,,,
14:30-14:40,FE-6,SSRMS Check,,,,
14:40-14:55,FE-4,Private Medical Conference  (Ku+S-band),,,,
14:40-15:30,"CDR,FE-6",OBT – Dragon approach and capture,,,,
14:55-15:10,FE-4,ИП-1 Sensor installation monitoring,,,,
15:10-15:30,FE-4,ТКГ No. 416 Rodnik БВ2 line flush,,,,
15:30-15:40,"FE-6,CDR",OBT report (ROBoT),,,,
15:30-16:30,FE-4,"СКПФ1, СКПФ2 Filter R&R and ГЖТ МRМ1 cleaning (FGB1ПГО_2_219_1, bag II-1/259-2 (008135R)). Update IMS",,,,
15:40-16:20,FE-6,MICB. Start particle counter in air sampler,,,,
15:40-15:45,CDR,Disassemble equipment for robo KTP,,,,
15:45-16:00,CDR,Transfer PCS from Node 3 into Cupola,,,,
16:00-16:05,CDR,Install video camera for image on monitor 3 RVS in LAB,,,,
16:05-16:15,CDR,MERLIN2. Desiccant replacement,,,,
16:15-17:15,CDR,OBT – Dragon ops,,,,
16:20-16:30,FE-6,MICB-AFL. Install in  MELFI,,,,
16:30-17:35,FE-4,МRМ1 ventilation mesh cleaning (group В),,,,
16:30-16:45,FE-6,ARED – flywheel cylinder removal,,,,
16:45-18:15,FE-6,Physical Exercise (ARED),,,,
17:20-18:20,CDR,Physical Exercise (CEVIS),,,,
17:35-18:35,FE-4,Physical Exercise (VELO) – Day 2,,,,
18:15-18:25,FE-6,MICB. Particle counter operation end,,,,
18:25-18:55,"FE-6,CDR",Dragon cargo transfer conference,,,,
18:35-18:55,FE-4,Evening work prep,,,,
18:55-19:10,,Daily Planning Conference (S-band),,,,
19:10-19:20,CDR,USOS Window Shutter Closing,,,,
19:10-19:30,FE-4,Evening work prep,,,,
19:10-19:25,FE-6,Evening work prep,,,,
19:20-19:30,CDR,Evening work prep,,,,
19:25-19:30,FE-6,ENERGY Diet Log (dinner),,,,
19:30-19:35,CDR,P/TV data playback start,,,,
19:30-21:25,FE-6,Pre-sleep,,,,
19:30-21:30,FE-4,Pre-sleep,,,,
19:35-21:25,CDR,Pre-sleep,,,,
21:25-21:30,CDR,P/TV data playback end,,,,
TIME,CREW,,,,,
,,Morning Inspection.,,,,
06:00-06:10,FE-4,SM ПСС (Caution & Warning Panel) Test  Reboot Laptop RS2(1),,,,
,,"Reload Laptop RSS1, RSS2",,,,
06:00-06:10,"FE-6, CDR",Morning Inspection,,,,
06:10-06:40,,Post-sleep,,,,
06:40-07:30,,BREAKFAST,,,,
07:30-07:45,,Work Prep,,,,
07:45-07:55,FE-6,Closing USOS Window Shutters,,,,
07:55-08:10,,Daily Planning Conference (S-band),,,,
08:10-09:40,CDR,Physical Exercise (ARED),,,,
08:10-08:20,FE-4,ALBEDO. Battery Charge (terminate),,,,
08:15-08:30,FE-6,ISS Crew/SSIPC FD Conference,,,,
08:20-08:30,FE-4,RELAKSATSIYA. Start SONY DCR-TRV900E Battery Charge,,,,
08:30-08:40,FE-6,Terminate EMU Metox Regeneration,,,,
08:30-09:10,FE-4,Cleaning ВД1 and ВД2 Air Ducts in DC-1,,,,
08:40-08:45,FE-6,Microbe-III MDS Sampling Familiarization,,,,
08:45-08:55,FE-6,Return Microbe-III Ziploc 1 to MELFI,,,,
08:55-09:15,FE-6,Prepare Microbe-III Microbial Detection Sheet,,,,
09:10-10:10,FE-4,В3 fan screen cleaning in DC1,,,,
09:15-09:40,FE-6,Photography of Microbe-III MDS Location,,,,
09:40-10:05,CDR,Environmental Health System (EHS) - CSA-CP Calibration,,,,
09:40-10:20,FE-6,Taking Microbe-III MDS Samples,,,,
10:05-10:40,CDR,WRS - CWC-I Degassing,,,,
,,"Replacement of ПФ1, ПФ2 Dust Filters and Cleaning В1, В2 Fan Grills in",,,,
10:10-11:00,FE-4,"DC1 (ФГБ1ПГО_2_219_1, bag II-1/259-2 or 008135R). Reflect changes",,,,
,,in IMS,,,,
10:20-11:20,FE-6,Physical Exercise T 2,,,,
10:40-10:55,CDR,Start Transfer Water from CWC I,,,,
11:00-12:30,FE-4,"Physical Exercise (TVIS), Day 2",,,,
11:05-11:20,CDR,Activation of  Module 9 NanoRacks,,,,
11:20-13:20,"FE-6, CDR",EVA Procedure Review,,,,
12:30-13:10,FE-4,СОЖ Maintenance,,,,
13:10-14:10,FE-4,LUNCH,,,,
13:20-13:35,FE-6,Private Psychological Conference,,,,
13:25-14:25,CDR,LUNCH,,,,
13:35-14:30,FE-6,LUNCH,,,,
14:10-14:40,FE-4,Restore 4СПН1 КОБ2 panel – preparation steps. Tagup with specialists (S-band),,,,
TIME,CREW,,,,,
,,Morning Inspection,,,,
06:00-06:10,FE-4,,,,,
,,"Reload Laptop RS2(1) and RSS1,2",,,,
06:00-06:05,"CDR, FE-6",Reaction Self Test,,,,
06:05-06:15,CDR,Morning Inspection,,,,
06:05-06:10,FE-6,Reading Reminder,,,,
06:10-06:40,FE-4,Post-sleep,,,,
06:15-06:40,CDR,Post-sleep,,,,
06:15-06:25,FE-6,Energy PFS Powerup,,,,
06:25-06:55,FE-6,ENERGY - Urine Sample Collection,,,,
,,BREAKFAST.,,,,
06:40-07:30,FE-4,,,,,
,,SM ПСС [Caution & Warning Panel] Test (after breakfast),,,,
06:40-07:30,CDR,BREAKFAST,,,,
06:55-07:05,FE-6,ENERGY Double Labeled Water Intake,,,,
07:05-07:20,FE-6,Energy PFS Instrument Check,,,,
07:20-08:20,FE-6,Oxygen Uptake Measurements. Part 1.,,,,
07:30-10:30,CDR,Weekly Housekeeping,,,,
